"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","العالم","142","آسيا","143","آسيا الوسطى","","","أوزبكستان","860","UZB","","x","","Developing"
"001","العالم","142","آسيا","143","آسيا الوسطى","","","تركمانستان","795","TKM","","x","","Developing"
"001","العالم","142","آسيا","143","آسيا الوسطى","","","طاجيكستان","762","TJK","","x","","Developing"
"001","العالم","142","آسيا","143","آسيا الوسطى","","","قيرغيزستان","417","KGZ","","x","","Developing"
"001","العالم","142","آسيا","143","آسيا الوسطى","","","كازاخستان","398","KAZ","","x","","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","أفغانستان","004","AFG","x","x","","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","الهند","356","IND","","","","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","إيران (جمهورية - الإسلامية)","364","IRN","","","","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","باكستان","586","PAK","","","","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","بنغلاديش","050","BGD","x","","","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","بوتان","064","BTN","x","x","","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","سري لانكا","144","LKA","","","","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","ملديف","462","MDV","","","x","Developing"
"001","العالم","142","آسيا","034","جنوب آسيا","","","نيبال","524","NPL","x","x","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","الفلبين","608","PHL","","","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","إندونيسيا","360","IDN","","","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","بروني دار السلام","096","BRN","","","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","تايلند","764","THA","","","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","تيمور- ليشتي","626","TLS","x","","x","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","جمهورية لاو الديمقراطية الشعبية","418","LAO","x","x","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","سنغافورة","702","SGP","","","x","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","فييت نام","704","VNM","","","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","كمبوديا","116","KHM","x","","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","ماليزيا","458","MYS","","","","Developing"
"001","العالم","142","آسيا","035","جنوب شرقي آسيا","","","ميانمار","104","MMR","x","","","Developing"
"001","العالم","142","آسيا","030","شرقي آسيا","","","الصين","156","CHN","","","","Developing"
