"Global Code","Global Name","Region Code","Region Name","Sub-region Code","Sub-region Name","Intermediate Region Code","Intermediate Region Name","Country or Area","M49 Code","ISO-alpha3 Code","Least Developed Countries (LDC)","Land Locked Developing Countries (LLDC)","Small Island Developing States (SIDS)","Developed / Developing Countries"
"001","Mundo","002","África","015","África septentrional","","","Argelia","012","DZA","","","","Developing"
"001","Mundo","002","África","015","África septentrional","","","Egipto","818","EGY","","","","Developing"
"001","Mundo","002","África","015","África septentrional","","","Libia","434","LBY","","","","Developing"
"001","Mundo","002","África","015","África septentrional","","","Marruecos","504","MAR","","","","Developing"
"001","Mundo","002","África","015","África septentrional","","","Sáhara Occidental","732","ESH","","","","Developing"
"001","Mundo","002","África","015","África septentrional","","","Sudán","729","SDN","x","","","Developing"
"001","Mundo","002","África","015","África septentrional","","","Túnez","788","TUN","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Angola","024","AGO","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Camerún","120","CMR","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","República Centroafricana","140","CAF","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Chad","148","TCD","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Congo","178","COG","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","República Democrática del Congo","180","COD","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Guinea Ecuatorial","226","GNQ","x","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Gabón","266","GAB","","","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Santo Tomé y Príncipe","678","STP","x","","x","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Botswana","072","BWA","","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Lesotho","426","LSO","x","x","","Developing"
"001","Mundo","002","África","202","África Subsahariana","","","Namibia","516","NAM","","","","Developing"
